icao24;registration;manufacturericao;manufacturername;model;typecode;serialnumber;linenumber;icaoaircrafttype;operator;operatorcallsign;operatoricao;operatoriata;owner;testreg;registered;reguntil;status;built;firstflightdate;seatconfiguration;engines;modes;adsb;acars;notes;categoryDescription
3d05f6;D-EAMW;FUJI;Fuji;FA-200 180 Aero Subaru;SUBA;178;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05f7;D-EAMX;DIAMOND;Diamond Aircraft;Diamond Star DA40D;DA40;D4.078;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05f8;D-EAMY;PIPER;Piper;PA-28 140 Cherokee F;P28A;28-7325212;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05f9;D-EAMZ;FUJI;Fuji;FA-200 160 Aero Subaru;SUBA;165;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05fa;D-EANA;AQUILA;Aquila;AT-01 100A;A210;AT01-340;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05fe;D-EANE;PIPER;Piper;PA-28 151 Cherokee Warrior;P28A;28-7415155;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05ff;D-EANF;REIMS;Reims/cessna;F172;C172;1684;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0603;D-EANJ;REIMS;Reims/cessna;F172P;C172;2110;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0604;D-EANK;GROB;Grob;Grob G-115 A;G115;8012;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0606;D-EANM;SOCATA;Pzl-okecie;PZL-110 Koliber 150;RALL;03890036;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0608;D-EANO;PIPER;Piper;PA-28 181 Archer II;P28A;28-7890433;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d060a;D-EANQ;WASSMER;Wassmer;Pacific WA.51A;WA50;28;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d060c;D-EANS;MOONEY;Mooney;M.20G Statesman;M20P;680008;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d060d;D-EANT;REIMS;Reims/cessna;FR172G Rocket;C172;0194;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0614;D-EAOA;PIPER;Piper;PA-28 181 Archer II;P28A;2890052;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0617;D-EAOD;REIMS;Reims/cessna;Reims/Cessna F152;C152;1910;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0618;D-EAOE;CESSNA;Cessna;172RG Cutlass RG;C72R;172RG0380;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d061d;D-EAOJ;SOCATA;Socata;SOCATA TB10 Tobago;TOBA;995;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0621;D-EAON;PIPER;Piper;Piper PA-28R 200 Cherokee Arrow II;P28R;28R-7535273;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0622;D-EAOO;CESSNA;Cessna;T210N Turbo Centurion;C210;21063856;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0623;D-EAOP;COLEMILL;Beech;Bonanza K35;BE35;D-6028;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0625;D-EAOR;REIMS;Reims/cessna;Reims/Cessna FR172F Rocket;C172;0071;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0627;D-EAOT;SAN;S.a.n.;Jodel DR.1050;DR10;147;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0628;D-EAOU;SOCATA;Socata;TB20 Trinidad;TB20;999;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0629;D-EAOV;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1959;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d062c;D-EAOY;SOCATA;Socata;SOCATA TB20 Trinidad;TB20;998;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d062d;D-EAOZ;SOCATA;Socata;TB21 Trinidad TC;TB21;632;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d062e;D-EAPA;TIGER;Grumman American;Grumman American AA-5 Traveler;AA5;AA5-0752;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d062f;D-EAPB;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1629;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0630;D-EAPC;DIAMOND;Diamond Aircraft;Diamond Star DA40D;DA40;D4.271;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0631;D-EAPD;MOONEY;Mooney;M.20J Model 201;M20P;24-0520;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0632;D-EAPE;CIRRUS;Cirrus Design;SR22T GTS Platinum;S22T;0984;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0633;D-EAPF;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1630;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0634;D-EAPG;MOONEY;Mooney;M.20K Model 252TSE;M20T;25-1147;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0635;D-EAPH;ZLIN;Moravan;Zlin Trener Master Z-526F;Z26;1230;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0637;D-EAPJ;REIMS;Reims/cessna;F150M;C150;1262;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0638;D-EAPK;WREN;Cessna;Cessna 182P Skylane;C182;18263975;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0639;D-EAPL;ROBIN;Robin;DR.400 180 Regent;DR40;1783;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d063a;D-EAPM;STARK;Piel;Emeraude CP.301E;CP30;065;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d063c;D-EAPO;PIPER;Piper;PA-28R T-201 Arrow IV;P28T;28R-8018033;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0640;D-EAPS;REIMS;Cessna;172L Skyhawk;C172;17259327;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0641;D-EAPT;BEECH;Beech;Musketeer C23 Sundowner 180;BE23;M-2357;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0644;D-EAPW;PIPER;Piper;PA-28 181 Archer II;P28A;28-8090298;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0647;D-EAPZ;REIMS;Cessna;Cessna 172R Skyhawk;C172;17280269;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0648;D-EAQA;AQUILA;Aquila;Aquila AT-01 A-210;A210;AT01-100A-339;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0649;D-EAQB;AQUILA;Aquila;AT-01 A-210;A210;AT01-103;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d064a;D-EAQC;AQUILA;Aquila;Aquila AT-01 A-210;A210;AT01-184;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d064f;D-EAQH;PIPER;Piper;PA-28 161 Cadet;P28A;2841116;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0650;D-EAQI;AQUILA;Aquila;AT-01 A-210;A210;;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0651;D-EAQJ;AQUILA;Aquila;AT-01 A-210;A210;AT01-213;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
