icao24;registration;manufacturericao;manufacturername;model;typecode;serialnumber;linenumber;icaoaircrafttype;operator;operatorcallsign;operatoricao;operatoriata;owner;testreg;registered;reguntil;status;built;firstflightdate;seatconfiguration;engines;modes;adsb;acars;notes;categoryDescription
3d0e0d;D-EDON;RAYTHEON;Beech;Bonanza A36;BE36;E-2071;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e0f;D-EDOP;WACO OHIO;Waco Classic Aircraft;Waco YMF-5C;WACF;F5C-8-137;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e12;D-EDOS;REIMS;Reims/cessna;F172P;C172;2223;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e13;D-EDOT;WAGAERO;Piper;J-3 C-65 Cub;J3;11843;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e15;D-EDOV;REIMS;Reims/cessna;F172G;C172;0227;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e16;D-EDOW;;Schlor/stern;ST-87 Europlane 1;ZZZZ;1830;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e18;D-EDOY;ROCKWELL;Commander Aircraft;Commander Aircraft Commander 114 TC;AC11;20031;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e1b;D-EDPB;GYROFLUG;Gyroflug;Speed Canard SC-01B-160;SC01;S-62;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e1c;D-EDPC;CIRRUS;Cirrus Design;Cirrus Design SR22;SR22;3503;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e1d;D-EDPD;PIPER;Piper;PA-28R 200 Cherokee Arrow II;P28R;28R-7235056;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e1f;D-EDPF;YAKIMA AEROSPORT;Piper;PA-18 L-18C Super Cub;PA18;18-3423;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e20;D-EDPG;SOCATA;Socata;TB10 Tobago;TOBA;243;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e22;D-EDPI;SOCATA;Morane-saulnier;Rallye MS.885 Super;RALL;133;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e24;D-EDPK;ROBIN;Robin;DR.400 180R Remorqueur;DR40;994;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e25;D-EDPL;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1004;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e26;D-EDPM;ROBIN;Robin;DR.400 R Remorqueur;DR40;2209;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e28;D-EDPO;PIAGGIO;Focke-wulf/piaggio;P.149 D;P149;168;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e29;D-EDPP;REIMS;Reims/cessna;F150M;C150;1303;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e2c;D-EDPS;CESSNA;Cessna;172RG Cutlass RG;C72R;172RG0114;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e2e;D-EDPU;SEQUOIA;Aeromere;F.8L Falco III America;F8L;234;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e2f;D-EDPV;CESSNA;Cessna;172RG Cutlass RG;C72R;172RG0557;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e30;D-EDPW;CESSNA;Cessna;170B;C170;25509;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e31;D-EDPX;REIMS;Reims/cessna;F152;C152;1933;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e32;D-EDPY;STARK;Binder-aviatik;Smaragd CP.301S;CP30;AB.701;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e33;D-EDPZ;DORNIER;Dornier;Do 27 A-4;DO27;367;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e34;D-EDQA;REIMS;Cessna;172R Skyhawk;C172;17280668;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e35;D-EDQB;PIPER;Piper;Piper PA-28 161 Warrior III;P28A;2842117;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e36;D-EDQC;WREN;Reims/cessna;F182Q Skylane;C182;0026;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e38;D-EDQE;ROBIN;Robin;DR.400 180R Remorqueur;DR40;2193;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e3c;D-EDQI;REIMS;Reims/cessna;F172H;C172;0520;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e3e;D-EDQK;REIMS;Reims/cessna;F172M;C172;1338;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e42;D-EDQO;REIMS;Reims/cessna;F150H;C150;0309;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e45;D-EDQR;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1047;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e49;D-EDQV;ROBIN;Robin;DR.315 Petit Prince;DR30;477;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e4a;D-EDQW;CESSNA;Cessna;Cessna 210D Centurion;C210;21058342;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e4e;D-EDRA;CENTRE EST;C.e.a.;Jodel DR.250-160 Capitaine;D250;50;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e4f;D-EDRB;CESSNA;Cessna;177B Cardinal;C177;17701422;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e51;D-EDRD;SOCATA;Socata;Rallye MS.893E 180GT Gaillard;RALL;12701;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e52;D-EDRE;SAN;S.a.n.;Jodel DR.1050;DR10;364;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e53;D-EDRF;REIMS;Reims/cessna;F172P;C172;2183;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e54;D-EDRG;SOCATA;Socata;Rallye 235E Gabier;RALL;12714;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e55;D-EDRH;PIPER;Piper;PA-28 151 Cherokee Warrior;P28A;28-7415359;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e56;D-EDRI;PIPER;Piper;PA-28R 201T Turbo Arrow III;P28R;28R-7703247;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e57;D-EDRJ;WREN;Cessna;182S Skylane;C182;18280514;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e58;D-EDRK;EAA;Amateur Built;Amateur Built Acrosport II;ACR2;1654;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e59;D-EDRL;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1391;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e5a;D-EDRM;RILEY;Cessna;P210N Pressurized Centurion;P210;P21000448;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e5b;D-EDRN;REIMS;Reims/cessna;F172M;C172;1249;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e5c;D-EDRO;PIPER;Piper;Piper PA-28R T-201 Arrow IV;P28T;28R-8118021;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e5d;D-EDRP;REIMS;Reims/cessna;F172P Skyhawk;C172;2179;;L1P;Frankfurter Verein F Luftfahrt;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e5e;D-EDRQ;SOCATA;Socata;Rallye MS.880B 100ST-D;RALL;2910;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e5f;D-EDRR;CESSNA;Cessna;Cessna 210B;C210;21057992;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e60;D-EDRS;DORNIER;Dornier;Do 27 B-1;DO27;306;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e63;D-EDRV;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1446;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e65;D-EDRX;SOCATA;Socata;Rallye MS.880B 100ST-D;RALL;2911;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e66;D-EDRY;YAKIMA AEROSPORT;Piper;PA-18 95 Super Cub;PA18;18-7194;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e67;D-EDRZ;PIPER;Piper;PA-28 181 Archer III;P28A;2843235;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e68;D-EDSA;CESSNA;Cessna;Cessna 180F;C180;18051308;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e6b;D-EDSD;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1299;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e6c;D-EDSE;CESSNA;Cessna;205;C205;205-0399;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e6e;D-EDSG;REIMS;Reims/cessna;Reims/Cessna FR172K Hawk XP;C172;0665;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e71;D-EDSJ;REIMS;Reims/cessna;F152;C152;1493;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e72;D-EDSK;REIMS;Reims/cessna;F172M;C172;1269;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e73;D-EDSL;YAKIMA AEROSPORT;Piper;PA-18 L-18C Super Cub;PA18;18-3438;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e75;D-EDSN;HOAC;Diamond Aircraft;Katana DV20;DV20;20146;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e79;D-EDSR;REIMS;Cessna;172P Skyhawk;C172;17275353;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e7a;D-EDSS;ROBIN;Robin;DR.315 Petit Prince;DR30;407;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e7b;D-EDST;MOONEY;Mooney;M.20F Executive;M20P;22-1296;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e7e;D-EDSW;STODDARD-HAMILTON;Stoddard-hamilton;Glasair Super II-RG;GLAS;2179;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e82;D-EDTA;PIPER;Piper;PA-28 180 Cherokee C;P28A;28-3631;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e84;D-EDTC;REIMS;Reims/cessna;F172M;C172;1323;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e86;D-EDTE;YAKIMA AEROSPORT;Piper;PA-18 150 Super Cub;PA18;18-7662;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e87;D-EDTF;PIPER;Piper;PA-46 350P Malibu Mirage;PA46;4636028;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e8b;D-EDTJ;REIMS;Reims/cessna;F172H;C172;0474;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e8c;D-EDTK;WASSMER;S.a.n.;Jodel D.117;D11;420;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e8d;D-EDTL;REIMS;Cessna;A152 Aerobat;C152;A1521033;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e90;D-EDTO;REIMS;Cessna;150D;C150;15060482;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e91;D-EDTP;ZLIN;Moravan;Zlin Trener Master Z-526;Z26;1048;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e93;D-EDTR;WREN;Cessna;182Q Skylane;C182;18266467;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e94;D-EDTS;PIPER;Piper;Piper PA-28 181 Archer II;P28A;28-8090010;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e95;D-EDTT;RILEY;Cessna;P210N Pressurized Centurion;P210;P21000462;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e98;D-EDTW;GYROFLUG;Gyroflug;Speed Canard SC-01B-160;SC01;S-6;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0e9a;D-EDTY;REIMS;Cessna;172S Skyhawk SP;C172;172S9084;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e9d;D-EDUB;SOCATA;Socata;TB10 Tobago;TOBA;171;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0e9e;D-EDUC;PIPER;Piper;Piper PA-28 181 Archer II;P28A;2890170;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0e9f;D-EDUD;PIPER;Piper;PA-28 181 Archer II;P28A;28-8090148;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0ea1;D-EDUF;REIMS;Cessna;Cessna 172N Skyhawk;C172;17272224;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ea2;D-EDUG;SAN;S.a.n.;Jodel DR.1050;DR10;186;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ea3;D-EDUH;PUTZER;Putzer;Elster B;ELST;020;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0ea6;D-EDUK;REIMS;Reims/cessna;F172M;C172;1214;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ea8;D-EDUM;PIPER;Piper;Piper PA-28 181 Archer II;P28A;2890055;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ea9;D-EDUN;YAKIMA AEROSPORT;Piper;PA-18 95 Super Cub;PA18;18-1602;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0eaa;D-EDUO;ROBIN;Robin;DR.315 Petit Prince;DR30;481;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eab;D-EDUP;PIPER;Piper;PA-28 181 Archer II;P28A;28-8190081;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eac;D-EDUQ;PIPER;Piper;PA-32 260 Cherokee Six;PA32;32-637;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0ead;D-EDUR;TAI;Siai-marchetti;SF.260;F260;110;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0eae;D-EDUS;REIMS;Cessna;172N Skyhawk;C172;17270580;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0eaf;D-EDUT;WAGAERO;Piper;J-3 C-90 Cub;J3;8962;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eb0;D-EDUU;PIPER;Piper;PA-28 181 Archer II;P28A;2890100;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eb1;D-EDUV;SAN;S.a.n.;Jodel DR.1050;DR10;187;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eb2;D-EDUW;PIPER;Piper;PA-28 140 Cherokee;P28A;28-23243;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eb3;D-EDUX;PITTS;Amateur Built;Pitts Special S-1S;PTS1;AB-K-025502;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eb4;D-EDUY;ROBIN;Robin;DR.300 180R Remorqueur;DR30;490;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0eb6;D-EDVA;SOCATA;Socata;Rallye MS.880B Club;RALL;2335;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eb8;D-EDVC;REIMS;Reims/cessna;F172M;C172;1442;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eb9;D-EDVD;REIMS;Reims/cessna;F172M;C172;1452;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eba;D-EDVE;ROBIN;Robin;DR.400 200R;DR40;1826;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0ebb;D-EDVF;MOONEY;Mooney;M.20F Executive 21;M20P;670298;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ebd;D-EDVH;CHRISTEN;Christen;Husky A-1;HUSK;1106;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ebe;D-EDVI;REIMS;Reims/cessna;F172;C172;1594;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ebf;D-EDVJ;PIPER;Piper;Piper PA-28 140 Cherokee E;P28A;28-7225453;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ec0;D-EDVK;PIPER;Piper;PA-28 180 Cherokee G;P28A;28-7205304;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ec2;D-EDVM;SOCATA;Socata;Rallye MS.893E 180GT Gaillard;RALL;12788;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ec3;D-EDVN;SOCATA;Socata;Rallye MS.893E 180GT Gaillard;RALL;12789;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0ec5;D-EDVP;SOCATA;Socata;Rallye MS.892E 150T-D;RALL;2776;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ec7;D-EDVR;REIMS;Reims/cessna;F150M;C150;1363;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ec8;D-EDVS;MOONEY;Mooney;M.20F Executive 21;M20P;670359;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ec9;D-EDVT;MOONEY;Mooney;M.20E Chaparral;M20P;690038;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0ecd;D-EDVX;MOONEY;Mooney;Mooney M.20E Chaparral 201;M20P;21-0017;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ece;D-EDVY;CIRRUS;Cirrus Design;SR22;SR22;1881;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ecf;D-EDVZ;REIMS;Reims/cessna;F150L;C150;1003;;L1P;Frankfurter Verein F�r Luftfahrt 1908 E.v.;;;;Private;;;;;;;;O-200;FALSCH;FALSCH;FALSCH;;
3d0ed0;D-EDWA;PUTZER;Putzer;Elster C;ELST;034;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ed1;D-EDWB;RILEY;Cessna;Cessna P210N Pressurized Centurion;P210;P21000571;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ed3;D-EDWD;SSH;Casa;Jungmann 1-131E;BU31;2146;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ed5;D-EDWF;;Cirrus Design;SR20 G3;ZZZZ;1418;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ed6;D-EDWG;PIPER;Piper;PA-32R 301 Saratoga SP;P32R;3213063;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ed7;D-EDWH;PIPER;Piper;PA-28R 201T Turbo Arrow III;P28R;28R-7703266;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ed8;D-EDWI;PIPER;Piper;PA-32R 301T Saratoga II TC;P32R;3257226;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ed9;D-EDWJ;SSH;Casa;Jungmann 1-131E;BU31;2136;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eda;D-EDWK;SSH;Casa;Jungmann 1-131E;BU31;2080;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0edc;D-EDWM;REIMS;Cessna;172N Skyhawk;C172;17272618;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0edd;D-EDWN;ROBIN;Robin;DR.400 180R Remorqueur;DR40;1927;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0ede;D-EDWO;CESSNA;Cessna;T206H Turbo Stationair;C206;T20608839;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0edf;D-EDWP;RAYTHEON;Beech;Bonanza F33A;BE33;CE-654;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0ee0;D-EDWQ;REIMS;Cessna;Cessna 172R Skyhawk;C172;17280536;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ee1;D-EDWR;TAI;Siai-marchetti;SF.260 C;F260;725;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ee2;D-EDWS;WREN;Reims/cessna;F182Q Skylane;C182;0034;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0ee5;D-EDWV;;Amateur Built;Kaliebe Sea Rey C;ZZZZ;1DK432C;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d0ee6;D-EDWW;PIPER;Piper;PA-28R 200 Cherokee Arrow II;P28R;28R-7335436;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ee9;D-EDWZ;SSH;Casa;Jungmann 1-131E;BU31;2015;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eea;D-EDXA;REIMS;Reims/cessna;FA150K Aerobat;C150;0032;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eec;D-EDXC;REIMS;Cessna;177 Cardinal RG;C77R;177RG0890;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0eed;D-EDXD;REIMS;Reims/cessna;FR172G Rocket;C172;0211;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0eee;D-EDXE;REIMS;Reims/cessna;F172H;C172;0726;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0eef;D-EDXF;REIMS;Reims/cessna;FR172G Rocket;C172;0169;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ef0;D-EDXG;SKYSTAR;Denney;Kitfox Srs.5;FOX;S9508-0142;;L1P;;;FOX;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0ef1;D-EDXH;REIMS;Cessna;Cessna 172S Skyhawk SP;C172;172S9773;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ef5;D-EDXL;REIMS;Reims/cessna;F172M;C172;1098;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0ef6;D-EDXM;REIMS;Reims/cessna;F172M;C172;1100;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0ef9;D-EDXP;REIMS;Reims/cessna;F172M;C172;1106;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0efa;D-EDXQ;PIPER;Piper;PA-28R T-201T Turbo Arrow IV;P28T;28R-8031106;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0efb;D-EDXR;REIMS;Reims/cessna;F172M;C172;1034;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d0eff;D-EDXV;SOCATA;Socata;TB10 Tobago;TOBA;455;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0f00;D-EDXW;SOCATA;Socata;TB10 Tobago;TOBA;462;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0f01;D-EDXX;SOCATA;Socata;TB10 Tobago;TOBA;461;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0f02;D-EDXY;REIMS;Cessna;R182 Turbo Skylane RG;C82R;R18200772;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d0f04;D-EDYA;NABERN;Bolkow;Bo.207;KL07;286;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
